"Subj","Time","IP","Condition","ItemNo","WordNo","Word","RT","Sentence","verification_code","Age","first_language","key","speed","read","chunk","windows"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,1,"A",265,"A sentence can have a relative clause.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,2,"sentence",272,"A sentence can have a relative clause.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,3,"can",220,"A sentence can have a relative clause.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,4,"have",242,"A sentence can have a relative clause.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,5,"a",239,"A sentence can have a relative clause.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,6,"relative",233,"A sentence can have a relative clause.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,7,"clause.",337,"A sentence can have a relative clause.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,1,"Press",221,"Press the spacebar%2C and you will see the next words.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,2,"the",244,"Press the spacebar%2C and you will see the next words.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,3,"spacebar%2C",237,"Press the spacebar%2C and you will see the next words.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,4,"and",231,"Press the spacebar%2C and you will see the next words.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,5,"you",232,"Press the spacebar%2C and you will see the next words.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,6,"will",229,"Press the spacebar%2C and you will see the next words.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,7,"see",232,"Press the spacebar%2C and you will see the next words.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,8,"the",225,"Press the spacebar%2C and you will see the next words.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,9,"next",228,"Press the spacebar%2C and you will see the next words.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,10,"words.",247,"Press the spacebar%2C and you will see the next words.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,1,"Each",224,"Each sentence will be followed by a comprehension question.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,2,"sentence",211,"Each sentence will be followed by a comprehension question.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,3,"will",219,"Each sentence will be followed by a comprehension question.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,4,"be",221,"Each sentence will be followed by a comprehension question.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,5,"followed",219,"Each sentence will be followed by a comprehension question.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,6,"by",232,"Each sentence will be followed by a comprehension question.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,7,"a",195,"Each sentence will be followed by a comprehension question.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,8,"comprehension",238,"Each sentence will be followed by a comprehension question.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,9,"question.",253,"Each sentence will be followed by a comprehension question.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,1,"You",243,"You will need to answer to each question%2C by responding either yes%2C or no.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
"6764111042_0d620359212de46d24ed475e5f1ff9f7",6764111042,"0d620359212de46d24ed475e5f1ff9f7","practice",NA,2,"will",233,"You will need to answer to each question%2C by responding either yes%2C or no.","LOUVIN_26",26,"Italian","space, yes","normal","silent","no","max"
